Nome	Categoria	Programa	Posicao	Tipo
MARIA TERESA GOMES BARBOSA	Docente	32005016029P4	1	ARTIGO EM PERIÓDICO
BARBARA MOURA DIAS E SILVA	Participante Externo	32005016029P4	2	ARTIGO EM PERIÓDICO
CLAUDIA VALERIA GAVIO COURA	Participante Externo	32005016029P4	3	ARTIGO EM PERIÓDICO
WILIAN DANIEL HENRIQUES DO AMARAL	Discente - Mestrado	32005016029P4	1	TRABALHO EM ANAIS
GUILHERME VALLE LOURES BRANDAO	Discente - Mestrado	32005016029P4	2	TRABALHO EM ANAIS
JOSE ALBERTO BARROSO CASTANON	Docente	32005016029P4	3	TRABALHO EM ANAIS
ANA FLAVIA RAMOS CRUZ	Discente - Mestrado	32005016029P4	1	ARTIGO EM PERIÓDICO
MARIA TERESA GOMES BARBOSA	Docente	32005016029P4	2	ARTIGO EM PERIÓDICO
JOSE ALBERTO BARROSO CASTANON	Docente	32005016029P4	3	ARTIGO EM PERIÓDICO
CARLOS EDUARDO DA ROCHA SANTOS	Discente - Mestrado	32005016029P4	1	ARTIGO EM PERIÓDICO
FREDERICO BRAIDA RODRIGUES DE PAULA	Docente	32005016029P4	2	ARTIGO EM PERIÓDICO
JOSE GUSTAVO FRANCIS ABDALLA	Docente	32005016029P4	3	ARTIGO EM PERIÓDICO
LEONARDO SANCHES	Discente - Mestrado	32005016029P4	1	ARTIGO EM PERIÓDICO
JOSE GUSTAVO FRANCIS ABDALLA	Docente	32005016029P4	2	ARTIGO EM PERIÓDICO
MARIA APARECIDA STEINHERZ HIPPERT	Docente	32005016029P4	3	ARTIGO EM PERIÓDICO
KARLIANE MASSARI FONSECA	Discente - Mestrado	32005016029P4	1	ARTIGO EM PERIÓDICO
MARCELO LUIS RIBEIRO SILVA TAVARES	Participante Externo	32005016029P4	2	ARTIGO EM PERIÓDICO
LUCIA MARIA SÁ ANTUNES COSTA	Participante Externo	32005016029P4	3	ARTIGO EM PERIÓDICO
ANTONIO FERREIRA COLCHETE FILHO	Docente	32005016029P4	4	ARTIGO EM PERIÓDICO
MARIA TERESA GOMES BARBOSA	Docente	32005016029P4	1	ARTIGO EM PERIÓDICO
Maria Manuela de Oliveira Guedes de Almeida	Participante Externo	32005016029P4	2	ARTIGO EM PERIÓDICO
FERNANDO TADEU DE ARAUJO LIMA	Docente	32005016029P4	1	ARTIGO EM PERIÓDICO
MAURO SANTORO CAMPELLO	Participante Externo	32005016029P4	2	ARTIGO EM PERIÓDICO
RICARDO FERREIRA LOPES	Participante Externo	32005016029P4	3	ARTIGO EM PERIÓDICO
