	Ano do Calendário	Programa	Nome do PPG	Área de Avaliação	IES Sigla	IES Nome	Nome Docente	Ano Titulação	Regime de Trabalho	Projetos Minter Dinter	Categoria	Início da Categoria	Fim da Categoria	Carga Horária
0	2017	32005016029P4	Ambiente Construído	ARQUITETURA, URBANISMO E DESIGN	UFJF	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	ANA APARECIDA BARBOSA PEREIRA	2012	Dedicação Exclusiva		COLABORADOR	03/07/2017		40
1	2017	32005016029P4	Ambiente Construído	ARQUITETURA, URBANISMO E DESIGN	UFJF	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	ANTONIO FERREIRA COLCHETE FILHO	2003	Integral		PERMANENTE	01/01/2010		40
2	2017	32005016029P4	Ambiente Construído	ARQUITETURA, URBANISMO E DESIGN	UFJF	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	FERNANDO TADEU DE ARAUJO LIMA	2017	Dedicação Exclusiva		PERMANENTE	03/07/2017		40
3	2017	32005016029P4	Ambiente Construído	ARQUITETURA, URBANISMO E DESIGN	UFJF	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	FREDERICO BRAIDA RODRIGUES DE PAULA	2012	Integral		PERMANENTE	01/06/2014		40
4	2017	32005016029P4	Ambiente Construído	ARQUITETURA, URBANISMO E DESIGN	UFJF	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	JOSE ALBERTO BARROSO CASTANON	2001	Integral		PERMANENTE	01/01/2010		40
5	2017	32005016029P4	Ambiente Construído	ARQUITETURA, URBANISMO E DESIGN	UFJF	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	JOSE GUSTAVO FRANCIS ABDALLA	1995	Integral		PERMANENTE	01/01/2010		40
6	2017	32005016029P4	Ambiente Construído	ARQUITETURA, URBANISMO E DESIGN	UFJF	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	KLAUS CHAVES ALBERTO	2008	Integral		PERMANENTE	01/07/2010		40
7	2017	32005016029P4	Ambiente Construído	ARQUITETURA, URBANISMO E DESIGN	UFJF	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	MARCOS MARTINS BORGES	2004	Integral		PERMANENTE	01/01/2010		40
8	2017	32005016029P4	Ambiente Construído	ARQUITETURA, URBANISMO E DESIGN	UFJF	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	MARCOS OLENDER	2007	Integral		PERMANENTE	26/02/2013		20
9	2017	32005016029P4	Ambiente Construído	ARQUITETURA, URBANISMO E DESIGN	UFJF	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	MARIA APARECIDA STEINHERZ HIPPERT	2005	Integral		PERMANENTE	01/01/2010		40
10	2017	32005016029P4	Ambiente Construído	ARQUITETURA, URBANISMO E DESIGN	UFJF	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	MARIA TERESA GOMES BARBOSA	2002	Integral		PERMANENTE	01/01/2010		40
11	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	ALINE PIRES VEROL	2013	Dedicação Exclusiva		COLABORADOR	01/01/2017		8
12	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	ANA MARIA GADELHA ALBANO AMORA	2006	Integral		PERMANENTE	01/07/2014		12
13	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	ANDREA QUEIROZ DA SILVA FONSECA REGO	2006	Integral		PERMANENTE	01/02/2010		12
14	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	CLAUDIA CARVALHO LEME NOBREGA	2003	Integral		PERMANENTE	01/02/1997		12
15	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	CRISTIANE ROSE DE SIQUEIRA DUARTE	1993	Integral		PERMANENTE	01/03/1994		12
16	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	ETHEL PINHEIRO SANTANA	2010	Integral		PERMANENTE	01/06/2014		12
17	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	FABIOLA DO VALLE ZONNO	2010	Dedicação Exclusiva		PERMANENTE	01/01/2015		8
18	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	GISELLE CHAVES ARTEIRO	2002	Integral		PERMANENTE	01/02/1995		12
19	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	GUSTAVO ROCHA PEIXOTO	2004	Integral		PERMANENTE	01/02/1988		12
20	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	LAIS BRONSTEIN PASSARO	2002	Integral		PERMANENTE	01/02/1989		12
21	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	LEOPOLDO EURICO GONCALVES BASTOS	1975	Integral		PERMANENTE	01/02/2002		12
22	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	MARCOS MARTINEZ SILVOSO	2003	Integral		COLABORADOR	01/02/2010		8
23	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	MARIA ANGELA DIAS	2002	Dedicação Exclusiva		PERMANENTE	04/04/2010		12
24	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	MARIA DA CONCEICAO ALVES DE GUIMARAENS	1999	Integral		PERMANENTE	01/02/1994		12
25	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	MARIA LYGIA ALVES DE NIEMEYER	2007	Integral		PERMANENTE	01/02/1989		12
26	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	MAURO CESAR DE OLIVEIRA SANTOS	1995	Integral		PERMANENTE	01/02/1997		12
27	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	MONICA SANTOS SALGADO	1996	Integral		PERMANENTE	01/02/1993		12
28	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	PAULO AFONSO RHEINGANTZ	2000	Integral		PERMANENTE	01/03/1994		2
29	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	ROSINA TREVISAN MARTINS RIBEIRO	2000	Integral		PERMANENTE	01/03/1996		12
30	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	SYLVIA MEIMARIDOU ROLA	2008	Dedicação Exclusiva		COLABORADOR	01/01/2017		8
31	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	VERA REGINA TANGARI	2000	Integral		PERMANENTE	01/02/1994		12
32	2017	31001017088P2	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRJ	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	VIRGINIA MARIA NOGUEIRA DE VASCONCELLOS	2006	Integral		COLABORADOR	01/01/2013		8
33	2017	33248010001P0	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	FEBASP	CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO	ALINE NASSARALLA REGINO	2011	Integral		PERMANENTE	28/08/2017		40
34	2017	33248010001P0	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	FEBASP	CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO	BRUNA BEATRIZ PETRECA	2016	Integral		PERMANENTE	28/08/2017		40
35	2017	33248010001P0	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	FEBASP	CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO	DEBORA SANCHES	2015	Integral		PERMANENTE	28/08/2017		40
36	2017	33248010001P0	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	FEBASP	CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO	DENISE FALCAO PESSOA	2003	Integral		PERMANENTE	28/08/2017		40
37	2017	33248010001P0	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	FEBASP	CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO	ENIO MORO JUNIOR	2005	Parcial		PERMANENTE	28/08/2017		40
38	2017	33248010001P0	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	FEBASP	CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO	FRANCISCO CARLOS TADEU STARKE RODRIGUES	2013	Dedicação Exclusiva		PERMANENTE	28/08/2017		40
39	2017	33248010001P0	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	FEBASP	CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO	LUCIA FERNANDA DE SOUZA PIRRO	2005	Integral		PERMANENTE	28/08/2017		40
40	2017	33248010001P0	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	FEBASP	CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO	MARCOS VIRGILIO DA SILVA	2011	Integral		PERMANENTE	28/08/2017		40
41	2017	33248010001P0	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	FEBASP	CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO	MARIA CAROLINA GARCIA	2010	Integral		PERMANENTE	28/08/2017		40
42	2017	33248010001P0	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	FEBASP	CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO	MARIO BISELLI	2014	Parcial		PERMANENTE	28/08/2017		20
43	2017	42001013049P8	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRGS	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	AIRTON CATTANI	2001	Integral		PERMANENTE	01/01/2015		20
44	2017	42001013049P8	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRGS	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	ANA CAROLINA SANTOS PELLEGRINI	2011	Integral		PERMANENTE	01/01/2016		25
45	2017	42001013049P8	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRGS	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	ANA CRISTINA FERNANDES VAZ MILHEIRO	2001	Integral		VISITANTE	03/11/2017	15/12/2017	20
46	2017	42001013049P8	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRGS	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	ANDREA SOLER MACHADO	2003	Integral		PERMANENTE	01/01/2015		25
47	2017	42001013049P8	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRGS	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	BEATRIZ MARIA FEDRIZZI	1997	Integral		PERMANENTE	01/01/2015		25
48	2017	42001013049P8	ARQUITETURA	ARQUITETURA, URBANISMO E DESIGN	UFRGS	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	BENAMY TURKIENICZ	1982	Integral		PERMANENTE	01/02/1999		20
