Qualis	Ano da Produção	Autor01	Autor01-Cat	Autor02	Autor02-Cat	Autor03	Autor03-Cat	Autor04	Autor04-Cat	Autor05	Autor05-Cat	Autor06	Autor06-Cat	Autor07	Autor07-Cat	Autor08	Autor08-Cat	Autor09	Autor09-Cat	Autor10	Autor10-Cat	Autor11	Autor11-Cat	Autor12	Autor12-Cat	Autor13	Autor13-Cat	Autor14	Autor14-Cat	Autor15	Autor15-Cat	Autor16	Autor16-Cat	Autor17	Autor17-Cat	Autor18	Autor18-Cat	Autor19	Autor19-Cat	Autor20	Autor20-Cat	Autor21	Autor21-Cat	Autor22	Autor22-Cat	Autor23	Autor23-Cat	Autor24	Autor24-Cat	Autor25	Autor25-Cat	Autor26	Autor26-Cat	Autor27	Autor27-Cat	Autor28	Autor28-Cat	Autor29	Autor29-Cat	Autor30	Autor30-Cat	Autor31	Autor31-Cat	Autor32	Autor32-Cat	Autor33	Autor33-Cat	Autor34	Autor34-Cat	Autor35	Autor35-Cat	Autor36	Autor36-Cat	Autor37	Autor37-Cat	Autor38	Autor38-Cat	Autor39	Autor39-Cat	Autor40	Autor40-Cat	Autor41	Autor41-Cat	Autor42	Autor42-Cat	Autor43	Autor43-Cat	Autor44	Autor44-Cat	Autor45	Autor45-Cat	Autor46	Autor46-Cat	Cidade	Cidade do evento	DOI	Divulgação	Edição / Número	Fascículo	IES Nome	IES Sigla	ISBN/ISSN	ISSN / Título do periódico	Idioma	Linha de Pesquisa	Natureza	Nome da editora	Nome do PPG	Nome do evento	Número da página final	Número da página inicial	Número do DOI	Observação	País	Produção Glosada?	Programa	Projeto de Pesquisa	Subtipo da Produção	Série	Tipo da Produção	Título da Produção	Título dos Anais	URL	URL do DOI	Volume	Área de Avaliação	Área de Concentração
C	2017.0	MARIA TERESA GOMES BARBOSA	Docente	BARBARA MOURA DIAS E SILVA	Participante Externo	CLAUDIA VALERIA GAVIO COURA	Participante Externo																																																																																							-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		1809-6298 / (1809-6298) ARQUITEXTOS (SÃO PAULO)	Português	TÉCNICA DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		-	04		-		Não	32005016029P4	PATOLOGIA EM EDIFICAÇÕES	ARTIGO EM PERIÓDICO	205.04	BIBLIOGRÁFICA	A IMPORTÂNCIA DOS SERVIÇOS DE MANUTENÇÃO NO PATRIMÔNIO HISTÓRICO CINE THEATRO CENTRAL, PALACETE SANTA MAFALDA E FÓRUM DA CULTURA EM JUIZ DE FORA		-		18	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
B3	2017.0	WILIAN DANIEL HENRIQUES DO AMARAL	Discente - Mestrado	GUILHERME VALLE LOURES BRANDAO	Discente - Mestrado	JOSE ALBERTO BARROSO CASTANON	Docente																																																																																							-	Los Angelels	-	MEIO DIGITAL	-	-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF	-	2194-5357 / (2194-5357) ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING	Inglês	TÉCNICA DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído	AHFE 2017 International Conference on Ergonomics in Design	399	390		-	Estados Unidos	Não	32005016029P4	TÉCNICA DO AMBIENTE CONSTRUÍDO	TRABALHO EM ANAIS	1	BIBLIOGRÁFICA	AERIAL SURVEILLANCE: A THEORETICAL COMPARISON STUDY ON REMOTE CONTROLLED AIRCRAFT	Proceedings of the AHFE 2017 International Conference on Ergonomics in Design	-		588	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
NA	2017.0	ANA FLAVIA RAMOS CRUZ	Discente - Mestrado	MARIA TERESA GOMES BARBOSA	Docente	JOSE ALBERTO BARROSO CASTANON	Docente																																																																																							-		-	VÁRIOS		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		2318-0692 / (2318-0692) REVISTA DE ENGENHARIA DA UNIVERSIDADE CATÓLICA DE PETRÓPOLIS	Português	TÉCNICA DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		43	33		-		Não	32005016029P4	TÉCNICA DO AMBIENTE CONSTRUÍDO	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	ANÁLISE DO PROCESSO DE MANUTENÇÃO EM DIFERENTES SISTEMAS CONSTRUTIVOS NO BRASI		-		11	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
C	2017.0	CARLOS EDUARDO DA ROCHA SANTOS	Discente - Mestrado	FREDERICO BRAIDA RODRIGUES DE PAULA	Docente	JOSE GUSTAVO FRANCIS ABDALLA	Docente																																																																																							-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		2179-7374 / (2179-7374) REVISTA EDUCAÇÃO GRÁFICA	Português	PROJETO DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		66	49		-		Não	32005016029P4	ARQUITETURA, URBANISMO DESIGN E REPRESENTAÇÃO GRÁFICA	ARTIGO EM PERIÓDICO	3	BIBLIOGRÁFICA	AS HISTÓRIAS EM QUADRINHOS COMO LINGUAGEM GRÁFICA NO ENSINO DO PROJETO DE ARQUITETURA E URBANISMO		[http://www.educacaografica.inf.br/wp-content/uploads/2018/01/07_AS-HIST%C3%93RIAS-EM-QUADRINHOS-COMO-LINGUAGEM_49_66.pdf]		21	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
C	2017.0	LEONARDO SANCHES	Discente - Mestrado	JOSE GUSTAVO FRANCIS ABDALLA	Docente	MARIA APARECIDA STEINHERZ HIPPERT	Docente																																																																																							-		10.24840/2184-0954_001.001_0004	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		2184-0954 / (2184-0954) INTERNATIONAL JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL SAFETY	Português	PROJETO DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		48	39		-		Não	32005016029P4	PROJETO DO AMBIENTE CONSTRUÍDO	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	BIM AS SUPPORT FOR DESIGN PROCESS WITH FIRE SAFETY REGULATIONS		[doi:10.24840/2184-0954_001.001_0004]		1	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
C	2017.0	KARLIANE MASSARI FONSECA	Discente - Mestrado	MARCELO LUIS RIBEIRO SILVA TAVARES	Participante Externo	LUCIA MARIA SÁ ANTUNES COSTA	Participante Externo	ANTONIO FERREIRA COLCHETE FILHO	Docente																																																																																					-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		0392-5005 / (0392-5005) URBANISTICA INFORMAZIONI	Português	PROJETO DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		520	519		-		Não	32005016029P4	CIDADE OLÍMPICA: ARTE PÚBLICA E MOBILIÁRIO URBANO NA ÁREA CENTRAL DO RIO DE JANEIRO	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	CITY AND SPORT: LANDSCAPE AND PUBLIX SPACE IN SCENE		-		1	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
A1	2017.0	MARIA TERESA GOMES BARBOSA	Docente	Maria Manuela de Oliveira Guedes de Almeida	Participante Externo																																																																																									-		10.1016/j.ecolind.2016.09.017	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		1470-160X / (1470-160X) ECOLOGICAL INDICATORS	Inglês	TÉCNICA DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		51	46		-		Não	32005016029P4	TÉCNICA DO AMBIENTE CONSTRUÍDO	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	DEVELOPING THE METHODOLOGY FOR DETERMINING THE RELATIVE WEIGHT OF DIMENSIONS EMPLOYED IN SUSTAINABLE BUILDING ASSESSMENT TOOLS FOR BRAZIL		-		73	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
C	2017.0	FERNANDO TADEU DE ARAUJO LIMA	Docente	MAURO SANTORO CAMPELLO	Participante Externo	RICARDO FERREIRA LOPES	Participante Externo																																																																																							-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		1679-7604 / (1679-7604) CADERNOS DO PROARQ (UFRJ)	Português	GESTÃO DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		103	89		-		Não	32005016029P4	DA PROTOTIPAGEM RÁPIDA À FABRICAÇÃO DIGITAL: MÉTODOS DE PRODUÇÃO AUTOMATIZADA EM ARQUITETURA E URBANISMO	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	EXPLORANDO MÉTODOS DE REPRESENTAÇÃO E SIMULAÇÃO NA ETAPA CONCEPTIVA NO PROCESSO DO PROJETO ARQUITETÔNICO: ANÁLISE DE UM CASO DE ESTUDO		-		27	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
B3	2017.0	ANA APARECIDA BARBOSA PEREIRA	Docente																																																																																											-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		2236-837X / (2236-837X) REVISTA DE GEOGRAFIA (UFJF)	Português	TÉCNICA DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		87	1		-		Não	32005016029P4	PATRIMÔNIO CULTURAL: CIDADES E TERRITÓRIOS NO BRASIL	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	GEOTECNOLOGIA APLICADA A PRESERVAÇÃO DO PATRIMÔNIO RURAL		[http://https://geografia.ufjf.emnuvens.com.br/geografia/article/view/179/159]		7	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
NA	2017.0	VICTOR HUGO GODOY DO NASCIMENTO	Participante Externo	CARINA FOLENA CARDOSO	Participante Externo	MARCELO LUIS RIBEIRO SILVA TAVARES	Participante Externo	MARIANE GARCIA UNANUE	Participante Externo	PATRICIA MENEZES MAYA MONTEIRO	Participante Externo	FREDERICO BRAIDA RODRIGUES DE PAULA	Docente	ANTONIO FERREIRA COLCHETE FILHO	Docente																																																																															-		-	IMPRESSO		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		1934-7367 / (1934-7367) JOURNAL OF CIVIL ENGINEERING AND ARCHITECTURE (ONLINE)	Português	PROJETO DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		499	494		-		Não	32005016029P4	ARQUITETURA, URBANISMO DESIGN E REPRESENTAÇÃO GRÁFICA	ARTIGO EM PERIÓDICO	5	BIBLIOGRÁFICA	LOCATING POWER AND DECISION-MAKING: SOCIAL PRODUCTION OF SPACE IN JUIZ DE FORA, BRAZIL		[http://www.davidpublisher.org/Public/uploads/Contribute/598bd87b1e848.pdf]		11	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
