	Instituição de Ensino	Programa	Sigla	Tem Doutorado
0	UNIVERSIDADE DA REGIÃO DE JOINVILLE	41004019005P7	UNIVILLE	NÃO
1	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	31001017103P1	UFRJ	SIM
2	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	32005016029P4	UFJF	NÃO
3	UNIVERSIDADE FEDERAL DO CEARÁ	22001018084P1	UFC	NÃO
4	UNIVERSIDADE FEDERAL DE VIÇOSA	32002017039P0	UFV	SIM
5	UNIVERSIDADE ESTADUAL DE CAMPINAS	33003017095P7	UNICAMP	SIM
6	UNIVERSIDADE FEDERAL DE ALAGOAS	26001012014P4	UFAL	SIM
7	UNIVERSIDADE ANHEMBI MORUMBI	33106010002P5	UAM	SIM
8	PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO	31005012027P9	PUC-RIO	SIM
9	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	31001017088P2	UFRJ	SIM
10	UNIVERSIDADE DE BRASÍLIA	53001010101P4	UNB	NÃO
11	UNIVERSIDADE FEDERAL DE SANTA CATARINA	41001010062P5	UFSC	NÃO
12	UNIVERSIDADE FEDERAL DO PARANÁ	40001016053P0	UFPR	SIM
13	UNIVERSIDADE PRESBITERIANA MACKENZIE	33024014020P7	UPM	SIM
14	UNIVERSIDADE FEDERAL FLUMINENSE	31003010052P4	UFF	SIM
15	UNIVERSIDADE FEDERAL DE UBERLÂNDIA	32006012036P7	UFU	NÃO
16	CENTRO UNIVERSITÁRIO RITTER DOS REIS	42043018004P4	UNIRITTER	NÃO
17	UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS )	33002045014P7	USP/SC	SIM
18	UNIVERSIDADE DO VALE DO RIO DOS SINOS	42007011032P6	UNISINOS	NÃO
19	UNIVERSIDADE DO ESTADO DE MINAS GERAIS	32025017002P2	UEMG	SIM
20	UNIVERSIDADE FEDERAL DA BAHIA	28001010077P5	UFBA	NÃO
21	UNIVERSIDADE FEDERAL DA BAHIA	28001010019P5	UFBA	SIM
22	UNIVERSIDADE DE FORTALEZA	22002014011P0	UNIFOR	NÃO
23	UNIVERSIDADE FEDERAL DO PARÁ	15001016063P4	UFPA	SIM
24	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE	24009016031P1	UFCG	NÃO
25	UNIVERSIDADE VILA VELHA	30011019103P0	UVV	NÃO
26	UNIVERSIDADE FEDERAL DE SANTA CATARINA	41001010064P8	UFSC	SIM
27	UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO	31004016041P5	UERJ	SIM
28	UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( BAURU )	33004056090P3	UNESP-BAURU	NÃO
29	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	31001017172P3	UFRJ	NÃO
30	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	23001011062P0	UFRN	NÃO
31	CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE	25019015002P6	CESAR	NÃO
32	UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO	30001013030P1	UFES	NÃO
33	UNIVERSIDADE DO ESTADO DE SANTA CATARINA	41002016022P6	UDESC	SIM
34	CENTRO UNIVERSITÁRIO TERESA D´ÁVILA	33245010001P7	UNIFATEA	NÃO
35	UNIVERSIDADE DE BRASÍLIA	53001010042P8	UNB	SIM
36	UNIVERSIDADE DE SÃO PAULO	33002010097P3	USP	SIM
37	FACULDADE MERIDIONAL	42051010003P7	IMED	NÃO
38	CENTRO UNIVERSITARIO BELAS ARTES DE SAO PAULO	33248010001P0	FEBASP	NÃO
39	UNIVERSIDADE SÃO JUDAS TADEU	33072019003P1	USJT	NÃO
40	UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( BAURU )	33004056082P0	UNESP-BAURU	SIM
41	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	31001017150P0	UFRJ	NÃO
42	UNIVERSIDADE FEDERAL DE PELOTAS	42003016032P0	UFPEL	NÃO
43	UNIVERSIDADE FEDERAL DE MINAS GERAIS	32001010049P0	UFMG	SIM
44	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	23001011024P1	UFRN	SIM
45	UNIVERSIDADE FEDERAL DE GOIÁS	52001016065P1	UFG	NÃO
46	UNIVERSIDADE FEDERAL DE SANTA CATARINA	41001010048P2	UFSC	SIM
47	PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS	33006016010P0	PUCCAMP	SIM
48	PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO	31005012039P7	PUC-RIO	NÃO
49	CENTRO UNIVERSITÁRIO RITTER DOS REIS	42043018002P1	UNIRITTER	NÃO
50	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	42001013049P8	UFRGS	SIM
51	UNIVERSIDADE ESTADUAL DE MARINGÁ	40004015037P3	UEM	SIM
52	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	23001011052P5	UFRN	NÃO
53	CENTRO UNIVERSITÁRIO DE BRASÍLIA	53005015003P4	UniCEUB	NÃO
54	UNIVERSIDADE DO VALE DO RIO DOS SINOS	42007011021P4	UNISINOS	SIM
55	UNIVERSIDADE DE SÃO PAULO	33002010249P8	USP	SIM
56	CESAR CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE	13012002001P6	CESAR-AM	NÃO
57	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	31001017142P7	UFRJ	NÃO
58	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	42001013096P6	UFRGS	SIM
59	FIAM-FAAM - CENTRO UNIVERSITÁRIO	33208018001P9	 FIAMFAAM	NÃO
60	UNIVERSIDADE FEDERAL DE PERNAMBUCO	25001019085P6	UFPE	NÃO
61	UNIVERSIDADE FEDERAL DE PERNAMBUCO	25001019057P2	UFPE	SIM
62	UNIVERSIDADE FEDERAL DO MARANHÃO	20001010028P9	UFMA	NÃO
63	UNIVERSIDADE FEDERAL DA PARAÍBA ( JOÃO PESSOA )	24001015052P8	UFPB-JP	SIM
64	Universidade Federal do Amazonas	12001015172P0	UFAM	NÃO
65	UNIVERSIDADE DO ESTADO DE SANTA CATARINA	41002016165P1	UDESC	NÃO
66	UNIVERSIDADE FEDERAL DE SANTA MARIA	42002010161P2	UFSM	NÃO
67	CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE	50014013001P9	UNIVAG	NÃO
68	INSTITUTO FED DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE	31040012004P4	IFF	NÃO
